total_bill,sex,smoker,day,time,size,tip
41.19,0,0,0,0,5,5.0
27.05,1,0,0,0,6,5.0
16.43,1,0,0,0,2,2.3
8.35,1,0,0,0,2,1.5
18.64,1,0,0,0,3,1.36
11.87,1,0,0,0,2,1.63
9.78,0,0,0,0,2,1.73
7.51,0,0,0,0,2,2.0
14.07,0,0,3,1,2,2.5
13.13,0,0,3,1,2,2.0
17.26,0,0,3,1,3,2.74
24.55,0,0,3,1,4,2.0
19.77,0,0,3,1,4,2.0
29.85,1,0,3,1,5,5.14
48.17,0,0,3,1,6,5.0
25.0,1,0,3,1,4,3.75
13.39,1,0,3,1,2,2.61
16.49,0,0,3,1,4,2.0
21.5,0,0,3,1,4,3.5
12.66,0,0,3,1,2,2.5
16.21,1,0,3,1,3,2.0
13.81,0,0,3,1,2,2.0
17.51,1,1,3,1,2,3.0
24.52,0,0,3,1,3,3.48
20.76,0,0,3,1,2,2.24
31.71,0,0,3,1,4,4.5
10.59,1,1,2,1,2,1.61
10.63,1,1,2,1,2,2.0
50.81,0,1,2,1,3,10.0
15.81,0,1,2,1,2,3.16
7.25,0,1,3,1,2,5.15
31.85,0,1,3,1,2,3.18
16.82,0,1,3,1,2,4.0
32.9,0,1,3,1,2,3.11
17.89,0,1,3,1,2,2.0
14.48,0,1,3,1,2,2.0
9.6,1,1,3,1,2,4.0
34.63,0,1,3,1,2,3.55
34.65,0,1,3,1,4,3.68
23.33,0,1,3,1,2,5.65
45.35,0,1,3,1,3,3.5
23.17,0,1,3,1,4,6.5
40.55,0,1,3,1,2,3.0
20.69,0,0,3,1,5,5.0
20.9,1,1,3,1,3,3.5
30.46,0,1,3,1,5,2.0
18.15,1,1,3,1,3,3.5
23.1,0,1,3,1,3,4.0
15.69,0,1,3,1,2,1.5
19.81,1,1,0,0,2,4.19
28.44,0,1,0,0,2,2.56
15.48,0,1,0,0,2,2.02
16.58,0,1,0,0,2,4.0
7.56,0,0,0,0,2,1.44
10.34,0,1,0,0,2,2.0
43.11,1,1,0,0,4,5.0
13.0,1,1,0,0,2,2.0
13.51,0,1,0,0,2,2.0
18.71,0,1,0,0,3,4.0
12.74,1,1,0,0,2,2.01
13.0,1,1,0,0,2,2.0
16.4,1,1,0,0,2,2.5
20.53,0,1,0,0,4,4.0
16.47,1,1,0,0,3,3.23
26.59,0,1,2,1,3,3.41
38.73,0,1,2,1,4,3.0
24.27,0,1,2,1,2,2.03
12.76,1,1,2,1,2,2.23
30.06,0,1,2,1,3,2.0
25.89,0,1,2,1,4,5.16
48.33,0,0,2,1,4,9.0
13.27,1,1,2,1,2,2.5
28.17,1,1,2,1,3,6.5
12.9,1,1,2,1,2,1.1
28.15,0,1,2,1,5,3.0
11.59,0,1,2,1,2,1.5
7.74,0,1,2,1,2,1.44
30.14,1,1,2,1,4,3.09
12.16,0,1,1,0,2,2.2
13.42,1,1,1,0,2,3.48
8.58,0,1,1,0,1,1.92
15.98,1,0,1,0,3,3.0
13.42,0,1,1,0,2,1.58
16.27,1,1,1,0,2,2.5
10.09,1,1,1,0,2,2.0
20.45,0,0,2,1,4,3.0
13.28,0,0,2,1,2,2.72
22.12,1,1,2,1,2,2.88
24.01,0,1,2,1,4,2.0
15.69,0,1,2,1,3,3.0
11.61,0,0,2,1,2,3.39
10.77,0,0,2,1,2,1.47
15.53,0,1,2,1,2,3.0
10.07,0,0,2,1,2,1.25
12.6,0,1,2,1,2,1.0
32.83,0,1,2,1,2,1.17
35.83,1,0,2,1,3,4.67
29.03,0,0,2,1,3,5.92
27.18,1,1,2,1,2,2.0
22.67,0,1,2,1,2,2.0
17.82,0,0,2,1,2,1.75
18.78,1,0,0,1,2,3.0
